HALL CONDUCTANCE COEFFICIENTS
From WANG and ZOU ET AL (2022)

#DIMENSIONS
24	nMlt
16	nLat

Lat	MLT	A0_up	A0_do	A1_up	A1_do	A2_up	A2_do

#START
66.0    13.0    3.02    1.55    0.37    0.00    0.00    0.00    
66.0    14.0    3.02    1.55    0.37    0.00    0.00    0.00    
66.0    15.0    1.87    2.34    0.13    0.33    0.00    0.00    
66.0    16.0    1.87    2.34    0.13    0.33    0.00    0.00    
66.0    17.0    1.87    2.34    0.13    0.33    0.00    0.00    
66.0    18.0    3.10    2.21    0.39    0.23    0.00    0.00    
66.0    19.0    3.10    2.21    0.39    0.23    0.00    0.00    
66.0    20.0    3.10    2.21    0.39    0.23    0.00    0.00    
66.0    21.0    2.84    2.50    0.29    0.31    0.00    0.00    
66.0    22.0    2.84    2.50    0.29    0.31    0.00    0.00    
66.0    23.0    2.84    2.50    0.29    0.31    0.00    0.00    
64.0    0.0     3.43    2.66    0.52    0.14    0.00    0.00    
64.0    1.0     3.43    2.66    0.52    0.14    0.00    0.00    
64.0    2.0     3.43    2.66    0.52    0.14    0.00    0.00    
64.0    3.0     3.62    3.37    0.54    0.40    0.00    0.00    
64.0    4.0     3.62    3.37    0.54    0.40    0.00    0.00    
64.0    5.0     3.62    3.37    0.54    0.40    0.00    0.00    
64.0    6.0     3.36    2.69    0.45    0.28    0.00    0.00    
64.0    7.0     3.36    2.69    0.45    0.28    0.00    0.00    
64.0    8.0     3.36    2.69    0.45    0.28    0.00    0.00    
64.0    9.0     3.19    2.12    0.41    0.14    0.00    0.00    
64.0    10.0    3.19    2.12    0.41    0.14    0.00    0.00    
64.0    11.0    3.19    2.12    0.41    0.14    0.00    0.00    
64.0    12.0    3.02    1.55    0.37    0.00    0.00    0.00    
64.0    13.0    3.02    1.55    0.37    0.00    0.00    0.00    
64.0    14.0    3.02    1.55    0.37    0.00    0.00    0.00    
64.0    15.0    1.87    2.34    0.13    0.33    0.00    0.00    
64.0    16.0    1.87    2.34    0.13    0.33    0.00    0.00    
64.0    17.0    1.87    2.34    0.13    0.33    0.00    0.00    
64.0    18.0    3.10    2.21    0.39    0.23    0.00    0.00    
64.0    19.0    3.10    2.21    0.39    0.23    0.00    0.00    
64.0    20.0    3.10    2.21    0.39    0.23    0.00    0.00    
64.0    21.0    2.84    2.50    0.29    0.31    0.00    0.00    
64.0    22.0    2.84    2.50    0.29    0.31    0.00    0.00    
64.0    23.0    2.84    2.50    0.29    0.31    0.00    0.00    
62.0    0.0     3.43    2.66    0.52    0.14    0.00    0.00    
62.0    1.0     3.43    2.66    0.52    0.14    0.00    0.00    
62.0    2.0     3.43    2.66    0.52    0.14    0.00    0.00    
62.0    3.0     3.62    3.37    0.54    0.40    0.00    0.00    
62.0    4.0     3.62    3.37    0.54    0.40    0.00    0.00    
62.0    5.0     3.62    3.37    0.54    0.40    0.00    0.00    
62.0    6.0     3.36    2.69    0.45    0.28    0.00    0.00    
62.0    7.0     3.36    2.69    0.45    0.28    0.00    0.00    
62.0    8.0     3.36    2.69    0.45    0.28    0.00    0.00    
62.0    9.0     3.19    2.12    0.41    0.14    0.00    0.00    
62.0    10.0    3.19    2.12    0.41    0.14    0.00    0.00    
62.0    11.0    3.19    2.12    0.41    0.14    0.00    0.00    
62.0    12.0    3.02    1.55    0.37    0.00    0.00    0.00    
62.0    13.0    3.02    1.55    0.37    0.00    0.00    0.00    
62.0    14.0    3.02    1.55    0.37    0.00    0.00    0.00    
62.0    15.0    1.87    2.34    0.13    0.33    0.00    0.00    
62.0    16.0    1.87    2.34    0.13    0.33    0.00    0.00    
62.0    17.0    1.87    2.34    0.13    0.33    0.00    0.00    
62.0    18.0    3.10    2.21    0.39    0.23    0.00    0.00    
62.0    19.0    3.10    2.21    0.39    0.23    0.00    0.00    
62.0    20.0    3.10    2.21    0.39    0.23    0.00    0.00    
62.0    21.0    2.84    2.50    0.29    0.31    0.00    0.00    
62.0    22.0    2.84    2.50    0.29    0.31    0.00    0.00    
62.0    23.0    2.84    2.50    0.29    0.31    0.00    0.00    
60.0    0.0     3.43    2.66    0.52    0.14    0.00    0.00    
60.0    1.0     3.43    2.66    0.52    0.14    0.00    0.00    
60.0    2.0     3.43    2.66    0.52    0.14    0.00    0.00    
60.0    3.0     3.62    3.37    0.54    0.40    0.00    0.00    
60.0    4.0     3.62    3.37    0.54    0.40    0.00    0.00    
60.0    5.0     3.62    3.37    0.54    0.40    0.00    0.00    
60.0    6.0     3.36    2.69    0.45    0.28    0.00    0.00    
60.0    7.0     3.36    2.69    0.45    0.28    0.00    0.00    
60.0    8.0     3.36    2.69    0.45    0.28    0.00    0.00    
60.0    9.0     3.19    2.12    0.41    0.14    0.00    0.00    
60.0    10.0    3.19    2.12    0.41    0.14    0.00    0.00    
60.0    11.0    3.19    2.12    0.41    0.14    0.00    0.00    
60.0    12.0    3.02    1.55    0.37    0.00    0.00    0.00    
60.0    13.0    3.02    1.55    0.37    0.00    0.00    0.00    
60.0    14.0    3.02    1.55    0.37    0.00    0.00    0.00    
60.0    15.0    1.87    2.34    0.13    0.33    0.00    0.00    
60.0    16.0    1.87    2.34    0.13    0.33    0.00    0.00    
60.0    17.0    1.87    2.34    0.13    0.33    0.00    0.00    
60.0    18.0    3.10    2.21    0.39    0.23    0.00    0.00    
60.0    19.0    3.10    2.21    0.39    0.23    0.00    0.00    
60.0    20.0    3.10    2.21    0.39    0.23    0.00    0.00    
60.0    21.0    2.84    2.50    0.29    0.31    0.00    0.00    
60.0    22.0    2.84    2.50    0.29    0.31    0.00    0.00    
60.0    23.0    2.84    2.50    0.29    0.31    0.00    0.00   
